1011,"VDRL strips","VDRL strips",3000
1012,"HIV- Determine T. strips","HIV- Determine T. strips",5000
1013,"HCG test","HCG test",3000
1014,"H.Pylory test","H.Pylory test",3000
1015,"Urine test","Urine test",3000
1016,"Blood Glucose test","Blood Glucose test",3000
1017,"Blood Uric acid test","Blood Uric acid test",5000
1018,"Hepatitis B & C test","Hepatitis B & C test",6000
1019,"Cholostrol test (lipid pan)","Cholostrol test (lipid pan)",15000
1020,"CBC Test.","CBC Test.",5000
1021,"Lipid Panel","Lipid Panel",15000
1022,"Lft (liver Function test)","Lft (liver Function test)",20000
1023,"RFT (Rinal Function test) ","RFT (Rinal Function test) ",15000
1024,"A1C Test (Average glucose level)","A1C Test (Average glucose level)",10000
1025,"ESR Test","ESR Test",5000
1026,"Stool Examination ","Stool Examination ",3000
1027,WBC,WBC,3000
1028,"Annusol cream","Annusol cream",8000
1029,Burncure,Burncure,3000
1030,"Bethamethasone cream","Bethamethasone cream",3000
1031,"Benzyl benzoate lotion","Benzyl benzoate lotion",10000
1032,"Clotrimazole cream","Clotrimazole cream",3000
1033,"Clamine lotion ","Clamine lotion ",5000
1034,"Candiderm cream","Candiderm cream",3000
1035,"Diclofenac gell","Diclofenac gell",50007
1036,"Hydrocortisone ointment","Hydrocortisone ointment",3000
1037,"Ketoconazole cream","Ketoconazole cream",3000
1038,"Neomycin cream","Neomycin cream",3000
1039,"Tetracyclin skin ointment","Tetracyclin skin ointment",3000
1040,"Whitefield ointment","Whitefield ointment",3000
1041,"Sulfer ointment","Sulfer ointment",3000
1042,"Dexamethasone & neomycine","Dexamethasone & neomycine",5000
1043,"MCG cream","MCG cream",7000
1044,"CAF eye drop ","CAF eye drop ",3000
1045,"Caf ear drop","Caf ear drop",3000
1046,"Gentamycin eye and ear drop","Gentamycin eye and ear drop",3000
1047,"Tetracycline eye ointment","Tetracycline eye ointment",3000
1048,"Dexamethasone + Neomycine eyedrop","Dexamethasone + Neomycine eyedrop",3000
1049,"Bethametasone + neomycin E/E","Bethametasone + neomycin E/E",3000
1050,"Albendazole 400mg tab,1tab/pkt.","Albendazole 400mg tab,1tab/pkt.",3000
1051,"Aminophylin 10mg tab,10'S","Aminophylin 10mg tab,10'S",5000
1052,"Amoxiciling 250mg caps, 10's. 30cap","Amoxiciling 250mg caps, 10's. 30cap",3000
1053,"Amoxicilling500mgcaps, 30's","Amoxicilling500mgcaps, 30's",5000
1054,"Ampicillin250mg caps, 30's 30caps","Ampicillin250mg caps, 30's 30caps",3000
1055,"Ampiclox 500mg caps,30's.","Ampiclox 500mg caps,30's.",5000
1056,"Amo-clave 625 mg caps, 10's.","Amo-clave 625 mg caps, 10's.",5000
1057,"Amlodipine 5 mg 30 tabs","Amlodipine 5 mg 30 tabs",6000
1058,"Amlodipine 10 mg 30 tabs","Amlodipine 10 mg 30 tabs",8000
1059,"Antiacid tab, 10's. 10 tabs","Antiacid tab, 10's. 10 tabs",5000
1060,"Artusunat + Amodaq. Adult, 6's.","Artusunat + Amodaq. Adult, 6's.",6000
1061,"Atrovastatine 10&20 mg tab,30's.","Atrovastatine 10&20 mg tab,30's.",8000
1062,"Atenolol 50mg&100mg tab,30's.","Atenolol 50mg&100mg tab,30's.",8000
1063,"Azitromycin 500mg tab,3's","Azitromycin 500mg tab,3's",5000
1064,"Bacterium 480mg, 10's.","Bacterium 480mg, 20's.",5000
1065,"Bscodyl 5mg, 10's.","Bscodyl 5mg, 10's.",2000
1066,"CAF 250 mgcaps, 10's. 30 cap","CAF 250 mgcaps, 10's. 30 cap",5000
1067,"Cetirizine 10mgtab, 10's.","Cetirizine 10mgtab, 10's.",2500
1068,"Cefixime 400mg tab.","Cefixime 400mg tab.",5000
1069,"Cloxacilling 250mg caps,10's 30 caps","Cloxacilling 250mg caps,10's 30 caps",3000
1070,"Clotrimazole v. tab,6's","Clotrimazole v. tab,6's",5000
1071,"Co-artem 24' tab","Co-artem 24' tab",6000
1072,"Chlorpheranamine 4mg, 10's.","Chlorpheranamine 4mg, 10's.",3000
1073,"Ciprofloxacilline 500mg, 20's","Ciprofloxacilline 500mg, 20's",5000
1074,"Flucap/ colds cap,20's","Flucap/ colds cap,20's",5000
1075,"Diabetone capsule, 30's","Diabetone capsule, 30's",5000
1076,"Daonile/ Glibenclamide 5mg, 10's 30 tabs","Daonile/ Glibenclamide 5mg, 10's 30 tabs",6000
1077,"Diclofenac 50mg, 20's","Diclofenac 50mg, 20's",3000
1078,"Diclofenac 100mg, 20's","Diclofenac 100mg, 20's",3000
1079,"Doxycycline 100mg, 20's.","Doxycycline 100mg, 20's.",5000
1080,"Fefol tab, 30's.","Fefol tab, 30's.",8000
1081,"Folic acid5mg tab, 30's","Folic acid5mg tab, 30's",5000
1082,"Erythromycin 250mg caps 30's.","Erythromycin 250mg caps 30's.",3000
1083,"Erythromycin 500mg caps,10's. 30 tab","Erythromycin 500mg caps,10's. 30 tab",9000
1084,"Fluconazole 200mg caps, 4's.","Fluconazole 200mg caps, 4's.",6000
1085,"H.pylory caps, 2boxes,","H.pylory caps, 2boxes,",15000
1086,"Hyoscine 10 mg tab,10's.","Hyoscine 10 mg tab,10's.",3000
1087,"HCT +Losartant tab, 30's","HCT +Losartant tab, 30's",8000
1088,"Ibuprofen 200mg tab, 20's 20 tabs","Ibuprofen 200mg tab, 20's 20 tabs",3000
1089,"Ibuprofen 400mg tab, 20's. 20 tabs","Ibuprofen 400mg tab, 20's. 20 tabs",3000
1090,"Indomethacine 250mg caps, 20's","Indomethacine 250mg caps, 20's",5000
1091,"Ketoconazole 200 mg caps, 30's","Ketoconazole 200 mg caps, 30's",9000
1092,"Griseofulvine 500mg tab, 10's.","Griseofulvine 500mg tab, 10's.",3000
